"","X","HBW_names","Tree_names","HBW_species_common_name","HBW_family","HBW_family_common_name","Data_source","Literature_Museum","Outer_volume..cm3","Inner_volume..cm3","Outer_volume_full..cm3","External_diameter..cm","Thickness..cm","External_height..cm","Internal_diameter..cm","Internal_height..cm","Body_mass..g","Migration_status","Migration_coded","Clutch_size","Nestling_period..days","Nest_builder_identity","Loc_vegetation","Loc_ground","Loc_rock","Loc_cavity_obligatory","Mean_nest_height..m","Range_midpoint_latitude","N_S","Insularity","Insularity_2","Mean_temperature","Mean_rainfall"
"66",66,"Ammospiza_caudacuta","Ammodramus_caudacutus","Saltmarsh Sparrow","Passerellidae","New World sparrows","BNA","L",219.06,55.89,274.95,8.6,1.65,7.1,5.3,3.8,19.19,"Full Migrant",1,4,9.5,"Excl_Female Care",1,1,0,0,0.05,38.38,"N",0,0,13.88,96.81
"69",69,"Ammospiza_maritima","Ammodramus_maritimus","Seaside Sparrow","Passerellidae","New World sparrows","BNA","L",272.27,94.25,366.52,10,2,7,6,5,22.16,"Not a Migrant",0,4.5,9,"Female",1,1,0,0,2.15,31.76,"N",0,0,18.74,105.03
"70",70,"Ammospiza_nelsoni","Ammodramus_nelsoni","Nelson's Sparrow","Passerellidae","New World sparrows","BNA","L",205.74,97.67,303.42,9.3,1.5,6.7,6.3,4.7,15.11,"Full Migrant",1,4,10.5,"Excl_Female Care",1,0,0,0,0.38,50.09,"N",0,0,7.93,62.59
"72",72,"Amphispiza_bilineata","Amphispiza_bilineata","Black-throated Sparrow","Passerellidae","New World sparrows","BNA","L",424.95,60.62,485.57,10.7,2.67,8.1,5.36,4.03,13.5,"Full Migrant",1,3.5,9.5,"Mainly Female",1,0,0,0,0.35,32.76,"N",0,0,17.1,23.32
"74",74,"Amphispiza_quinquestriata","Aimophila_quinquestriata","Five-striped Sparrow","Passerellidae","New World sparrows","BNA","L",347.65,148.08,495.72,10.2,1.75,9.1,6.7,6.3,19.53,"Not a Migrant",0,4,9.5,"Female",1,0,0,0,0.85,28.42,"N",0,0,19.96,23.49
"76",76,"Andropadus_importunus","Andropadus_importunus","Sombre Greenbul","Pycnonotidae","Bulbuls","HBW","L",314.24,60.98,375.22,10.5,2.5,6.5,5.5,3.85,27.4,"Not a Migrant",0,2,13.25,"Female",1,0,0,0,2.5,-18.41,"S",0,0,22.49,66.03
"79",79,"Anthochaera_phrygia","Xanthomyza_phrygia","Regent Honeyeater","Meliphagidae","Honeyeaters","HBW","L",299.94,87.93,387.87,11.4,2.5,5.7,6.4,4.1,39.99,"Nomadic",0,2,16,"Mainly Female",1,0,0,0,15.5,-36.25,"S",0,0,15.91,65.14
"87",87,"Anthus_petrosus","Anthus_petrosus","Rock Pipit","Motacillidae","Pipits and wagtails","Tring","M",360.97,66.57,427.54,11.59,2.89,5.48,5.81,3.75,22.4,"Full Migrant",1,5,16,"Female",0,1,1,0,0,61.15,"N",0,0,5.5,69.25
"88",88,"Anthus_pratensis","Anthus_pratensis","Meadow Pipit","Motacillidae","Pipits and wagtails","Tring","M",326.52,68.31,394.82,11.51,2.85,5.67,5.81,3.86,18.4,"Full Migrant",1,4.5,12.5,"Female",0,1,0,0,0,61.11,"N",0,0,4.64,48.63
"92",92,"Anthus_trivialis","Anthus_trivialis","Tree Pipit","Motacillidae","Pipits and wagtails","Tring","M",305.87,57.88,363.74,11.72,2.92,5.12,5.88,3.19,23.33,"Full Migrant",1,5,13,"Female",0,1,0,0,0,58.26,"N",0,0,4.41,42.51
"95",95,"Aphelocoma_californica","Aphelocoma_californica","Western Scrub-jay","Corvidae","Crows and jays","BNA","L",798.49,261.8,1060.29,15,2.5,9,10,5,85.74,"Not a Migrant",0,3,20.5,"Both",1,0,0,0,3,38.03,"N",0,0,12.98,31.95
"97",97,"Aphelocoma_unicolor","Aphelocoma_unicolor","Unicolored Jay","Corvidae","Crows and jays","HBW","L",12376.3,190.07,12566.37,40,14.5,15,11,3,124,"Not a Migrant",0,3.5,23.5,"Excl_Group Care",1,0,0,0,9.5,15.05,"N",0,0,20.62,153.31
"99",99,"Argya_altirostris","Turdoides_altirostris","Iraq Babbler","Leiotrichidae","Laughingthrushes and allies","Tring","M",748.41,154.59,903,16.18,4.14,6.59,7.9,4.73,33,"Not a Migrant",0,3.5,10,"Excl_Group Care",1,0,0,0,3.25,32.27,"N",0,0,25.3,13.65
"100",100,"Argya_altirostris","Turdoides_altirostris","Iraq Babbler","Leiotrichidae","Laughingthrushes and allies","BWP","L",706.77,183,889.76,11.9,2,12,7.9,5.6,33,"Not a Migrant",0,3.5,10,"Excl_Group Care",1,0,0,0,3.25,32.27,"N",0,0,25.3,13.65
"101",101,"Argya_caudata","Turdoides_caudata","Common Babbler","Leiotrichidae","Laughingthrushes and allies","BWP","L",1343.2,356.05,1699.25,15.8,2.9,13,10,6.8,39.15,"Not a Migrant",0,4,12,"Excl_Group Care",1,0,0,0,1.2,23.63,"N",0,0,27.36,31.53
"104",104,"Argya_squamiceps","Turdoides_squamiceps","Arabian Babbler","Leiotrichidae","Laughingthrushes and allies","Tring","M",1098.54,242.38,1340.92,18.36,4.74,7.6,8.88,5.87,72.88,"Not a Migrant",0,4,14,"Excl_Group Care",1,0,0,0,7,22.31,"N",0,0,25.1,10.37
"115",115,"Arundinax_aedon","Acrocephalus_aedon","Thick-billed Warbler","Acrocephalidae","Reed-warblers","HBW","L",819.76,122.72,942.48,15,4.38,8,6.25,6,22.4,"Full Migrant",1,5,14,"Female",1,0,0,0,0.95,50.94,"N",0,0,3.99,31.21
"126",126,"Batis_molitor","Batis_molitor","Chinspot Batis","Platysteiridae","Batises and wattle-eyes","Tring","M",97.39,22.5,119.89,7.6,1.59,3.96,4.42,2.2,11.64,"Not a Migrant",0,2,17,"Mainly Female",1,0,0,0,4,-13.84,"S",0,0,21.34,73.37
"132",132,"Bombycilla_cedrorum","Bombycilla_cedrorum","Cedar Waxwing","Bombycillidae","Waxwings","BNA","L",706.93,114.17,821.1,12.05,2.05,10.8,7.95,3.45,31.58,"Full Migrant",1,4.5,15.5,"Mainly Female",1,0,0,0,8,48.98,"N",0,0,6.4,62.99
"133",133,"Bombycilla_cedrorum","Bombycilla_cedrorum","Cedar Waxwing","Bombycillidae","Waxwings","BNA","L",417.92,86.28,504.2,11.9,2.7,6.8,6.5,3.9,31.58,"Full Migrant",1,4.5,15.5,"Mainly Female",1,0,0,0,8,48.98,"N",0,0,6.4,62.99
"135",135,"Bombycilla_garrulus","Bombycilla_garrulus","Bohemian Waxwing","Bombycillidae","Waxwings","BNA","L",1131.98,146.24,1278.22,17.15,5.08,8.3,7,5.7,54.41,"Full Migrant",1,5,14.5,"Mainly Female",1,0,0,0,8.15,62.48,"N",0,0,-0.8,33.02
"136",136,"Bombycilla_garrulus","Bombycilla_garrulus","Bohemian Waxwing","Bombycillidae","Waxwings","Tring","M",955.7,106.47,1062.17,15.42,4.19,7.93,7.03,4.04,54.41,"Full Migrant",1,5,14.5,"Mainly Female",1,0,0,0,8.15,62.48,"N",0,0,-0.8,33.02
"138",138,"Bucanetes_githagineus","Bucanetes_githagineus","Trumpeter Finch","Fringillidae","Finches","Tring","M",127.04,70.43,197.47,9.19,1.62,4.39,5.96,3.75,19.6,"Not a Migrant",0,5,13,"Female",0,1,1,0,3,27.46,"N",0,0,23.52,12.1
"139",139,"Bucanetes_githagineus","Bucanetes_githagineus","Trumpeter Finch","Fringillidae","Finches","BWP","L",245.96,60.84,306.8,12.5,3,3.75,6.5,2.75,19.6,"Not a Migrant",0,5,13,"Female",0,1,1,0,3,27.46,"N",0,0,23.52,12.1
"140",140,"Bucanetes_mongolicus","Eremopsaltria_mongolicus","Mongolian Finch","Fringillidae","Finches","BWP","L",317.46,73,390.47,12.4,2.95,4.85,6.5,3.3,21.5,"Not a Migrant",0,5,18,"Female",0,1,1,0,0,42.2,"N",0,0,9,21.91
"142",142,"Calamospiza_melanocorys","Calamospiza_melanocorys","Lark Bunting","Passerellidae","New World sparrows","BNA","L",243.01,94.73,337.74,9.4,1.25,7.3,6.9,3.8,37.6,"Full Migrant",1,4,8.5,"Excl_Group Care",0,1,0,0,0,44.31,"N",0,0,10.76,52.13
"147",147,"Calcarius_lapponicus","Calcarius_lapponicus","Lapland Longspur","Calcariidae","Longspurs","BNA","L",912.5,272.63,1185.13,13.35,2.55,12.7,8.25,7.65,27.84,"Full Migrant",1,5,9.5,"Female",1,1,0,0,0,69.96,"N",0,0,-10.21,21.48
"153",153,"Calcarius_pictus","Calcarius_pictus","Smith's Longspur","Calcariidae","Longspurs","BNA","L",193.24,62.94,256.18,9.7,2,5.2,5.7,3.7,26.66,"Full Migrant",1,4,8,"Female",0,1,0,0,0,66.37,"N",0,0,-7.07,21.44
"154",154,"Calcarius_pictus","Calcarius_pictus","Smith's Longspur","Calcariidae","Longspurs","Tring","M",113.19,53.97,167.16,8.79,1.63,4.13,5.54,3.36,26.66,"Full Migrant",1,4,8,"Female",0,1,0,0,0,66.37,"N",0,0,-7.07,21.44
"155",155,"Caligavis_chrysops","Lichenostomus_chrysops","Yellow-faced Honeyeater","Meliphagidae","Honeyeaters","HBW","L",64.96,114.49,179.45,6.65,0.43,7.75,5.8,6.5,17.3,"Full Migrant",1,2.35,12.5,"Female",1,0,0,0,12.58,-30.65,"S",0,0,18.99,57.1
"157",157,"Cardellina_canadensis","Wilsonia_canadensis","Canada Warbler","Parulidae","New World warblers","BNA","L",465.65,77.93,543.58,11.5,2.6,7.85,6.3,3.75,10.04,"Full Migrant",1,4,9,"Mainly Female",1,1,1,0,0.45,48.49,"N",0,0,4.51,63.31
"159",159,"Cardellina_pusilla","Wilsonia_pusilla","Wilson's Warbler","Parulidae","New World warblers","BNA","L",184.27,38.39,222.66,9,2.13,5.25,4.75,3.25,6.96,"Full Migrant",1,5,10,"Female",1,1,0,0,0,58.92,"N",0,0,0.47,45.37
"160",160,"Cardellina_pusilla","Wilsonia_pusilla","Wilson's Warbler","Parulidae","New World warblers","BNA","L",328.83,40.29,369.12,8.9,2.2,8.9,4.5,3.8,6.96,"Full Migrant",1,5,10,"Female",1,1,0,0,0,58.92,"N",0,0,0.47,45.37
"161",161,"Cardellina_pusilla","Wilsonia_pusilla","Wilson's Warbler","Parulidae","New World warblers","BNA","L",241.88,48.44,290.32,8.9,2.08,7,4.75,4.1,6.96,"Full Migrant",1,5,10,"Female",1,1,0,0,0,58.92,"N",0,0,0.47,45.37
"163",163,"Cardellina_rubrifrons","Cardellina_rubrifrons","Red-faced Warbler","Parulidae","New World warblers","BNA","L",199.72,62.79,262.51,9.6,2.05,5.44,5.51,3.95,8.1,"Full Migrant",1,4.5,12,"Female",0,1,0,0,0,29.77,"N",0,0,16.53,20.71
"164",164,"Cardinalis_cardinalis","Cardinalis_cardinalis","Northern Cardinal","Cardinalidae","Cardinals","Tring","M",910.44,123.25,1033.69,17.86,5.39,6.19,7.09,4.68,42.64,"Not a Migrant",0,2.5,10,"Mainly Female",1,0,0,0,6.13,35.92,"N",0,0,16.54,79.14
"167",167,"Cardinalis_sinuatus","Cardinalis_sinuatus","Pyrrhuloxia","Cardinalidae","Cardinals","BNA","L",217.95,111.92,329.87,10,1.25,6.3,7.5,3.8,35.19,"Full Migrant",1,3,11.5,"Mainly Female",1,0,0,0,3.2,28.53,"N",0,0,20.6,27.59
"168",168,"Cardinalis_sinuatus","Cardinalis_sinuatus","Pyrrhuloxia","Cardinalidae","Cardinals","BNA","L",207.79,85.88,293.67,9.75,1.5,5.9,6.75,3.6,35.19,"Full Migrant",1,3,11.5,"Mainly Female",1,0,0,0,3.2,28.53,"N",0,0,20.6,27.59
"169",169,"Carduelis_carduelis","Carduelis_carduelis","European Goldfinch","Fringillidae","Finches","Tring","M",164.86,39.25,204.11,8.71,1.98,5.05,4.76,3.34,16,"Full Migrant",1,5,15.5,"Mainly Female",1,0,0,0,6,51.9,"N",0,0,9.17,47.66
"170",170,"Carduelis_carduelis","Carduelis_carduelis","European Goldfinch","Fringillidae","Finches","BWP","L",111.28,33.88,145.17,7.6,1.65,4.8,4.3,3.5,16,"Full Migrant",1,5,15.5,"Mainly Female",1,0,0,0,6,51.9,"N",0,0,9.17,47.66
"171",171,"Carduelis_citrinella","Carduelis_citrinella","Citril Finch","Fringillidae","Finches","BWP","L",177.21,30.16,207.37,8.9,2.05,5,4.8,2.5,12,"Altitudinal Migrant",1,4,18,"Female",1,0,0,0,10.15,46.52,"N",0,0,6.7,94.63
"172",172,"Carpodacus_erythrinus","Carpodacus_erythrinus","Common Rosefinch","Fringillidae","Finches","BWP","L",728.78,61.77,790.55,13.25,3.88,8.6,5.5,3.9,23.97,"Full Migrant",1,5,11.5,"Female",1,1,0,0,5,57.62,"N",0,0,2.02,36.85
"173",173,"Carpodacus_rubicilla","Carpodacus_rubicilla","Great Rosefinch","Fringillidae","Finches","BWP","L",1443.23,173.85,1617.07,15.63,3.59,12.65,8.45,4.65,43.2,"Altitudinal Migrant",1,4.5,17,"Female",1,0,1,0,5.65,34.66,"N",0,0,0.99,36.87
"177",177,"Catharus_bicknelli","Catharus_bicknelli","Bicknell's Thrush","Turdidae","Thrushes","BNA","L",425.42,116.14,541.55,11.3,2.1,8.1,7.1,4.4,27.79,"Full Migrant",1,3.5,11,"Female",1,0,0,0,5.25,48.75,"N",0,0,3.99,92.84
"178",178,"Catharus_bicknelli","Catharus_bicknelli","Bicknell's Thrush","Turdidae","Thrushes","BNA","L",543.62,126.6,670.22,12.2,2.48,8.6,7.25,4.6,27.79,"Full Migrant",1,3.5,11,"Female",1,0,0,0,5.25,48.75,"N",0,0,3.99,92.84
"179",179,"Catharus_fuscescens","Catharus_fuscescens","Veery","Turdidae","Thrushes","BNA","L",688.86,110.93,799.79,11.5,2.38,11.55,6.75,4.65,31.9,"Full Migrant",1,4,11,"Female",1,1,0,0,0.75,47.53,"N",0,0,6.28,63.89
"180",180,"Catharus_guttatus","Catharus_guttatus","Hermit Thrush","Turdidae","Thrushes","BNA","L",432.23,99.55,531.78,12.5,3,6.5,6.5,4.5,30.1,"Full Migrant",1,4,12,"Female",1,1,0,0,1.25,53.11,"N",0,0,3.83,51.11
"182",182,"Catharus_minimus","Catharus_minimus","Grey-cheeked Thrush","Turdidae","Thrushes","BNA","L",530.27,110.61,640.88,12,2.75,8.5,6.5,5,31.58,"Full Migrant",1,4,12,"Female",1,1,0,0,3,63.98,"N",0,0,-3.61,30.13
"184",184,"Catharus_ustulatus","Catharus_ustulatus","Russet-backed Thrush","Turdidae","Thrushes","Tring","M",393.6,90,483.61,11.25,2.56,7.3,6.13,4.57,30.3,"Full Migrant",1,3.5,13,"Female",1,1,0,0,2.9,51.56,"N",0,0,6.57,99.98
"185",185,"Catharus_ustulatus","Catharus_ustulatus","Russet-backed Thrush","Turdidae","Thrushes","BNA","L",410.79,71.63,482.42,10.6,2.3,8.2,6,3.8,30.3,"Full Migrant",1,3.5,13,"Female",1,1,0,0,2.9,51.56,"N",0,0,6.57,99.98
"196",196,"Certhionyx_variegatus","Certhionyx_variegatus","Pied Honeyeater","Meliphagidae","Honeyeaters","HBW","L",263.78,53.8,317.58,10.8,2.8,5.2,5.2,3.8,26.27,"Nomadic",0,2.38,12.5,"Both",1,0,0,0,2.6,-26.72,"S",0,0,23.88,21.06
"197",197,"Cettia_cetti","Cettia_cetti","Cetti's Warbler","Scotocercidae","Bush-warblers","Tring","M",324.43,46.41,370.84,10.43,2.99,6.41,4.45,4.51,13.22,"Full Migrant",1,3,15,"Female",1,0,0,0,1.15,38.37,"N",0,0,12.47,41.8
"198",198,"Cettia_cetti","Cettia_cetti","Cetti's Warbler","Scotocercidae","Bush-warblers","BWP","L",292.21,70.41,362.63,8.7,1.79,9.15,5.12,5.13,13.22,"Full Migrant",1,3,15,"Female",1,0,0,0,1.15,38.37,"N",0,0,12.47,41.8
"199",199,"Chamaea_fasciata","Chamaea_fasciata","Wrentit","Sylviidae","Old World warblers and parrotbills","BNA","L",184.13,106.19,290.32,8.9,1.2,7,6.5,4.8,14.73,"Not a Migrant",0,3.5,15,"Both",1,0,0,0,1,38.24,"N",0,0,13.74,54.39
"200",200,"Charitospiza_eucosma","Charitospiza_eucosma","Coalcrest","Thraupidae","Tanagers","NBO","L",55.88,24.01,79.9,6.8,1.3,3.3,4.2,2.6,6.5,"Not a Migrant",0,2,12,"Both",1,0,0,0,2.18,-13.57,"S",0,0,23.84,109.34
"201",201,"Chasiempis_sandwichensis","Chasiempis_sandwichensis","Hawaii Elepaio","Monarchidae","Monarch-flycatchers","Tring","M",152.53,41.73,194.26,7.64,1.55,6.38,4.54,3.81,13.69,"Not a Migrant",0,1.9,16,"Mainly Female",1,0,0,0,13,19.75,"N",1,1,16.64,164.81
"202",202,"Chasiempis_sandwichensis","Chasiempis_sandwichensis","Hawaii Elepaio","Monarchidae","Monarch-flycatchers","BNA","L",218.03,61.77,279.8,7.5,1,9.5,5.5,3.9,13.69,"Not a Migrant",0,1.9,16,"Mainly Female",1,0,0,0,13,19.75,"N",1,1,16.64,164.81
"203",203,"Chasiempis_sandwichensis","Chasiempis_sandwichensis","Hawaii Elepaio","Monarchidae","Monarch-flycatchers","BNA","L",266.37,56.49,322.86,7.7,1.15,10.4,5.4,3.7,13.69,"Not a Migrant",0,1.9,16,"Mainly Female",1,0,0,0,13,19.75,"N",1,1,16.64,164.81
"206",206,"Chloris_chloris","Carduelis_chloris","European Greenfinch","Fringillidae","Finches","BWP","L",513.13,52.36,565.49,12,3.5,7.5,5,4,26,"Full Migrant",1,5,16,"Female",1,0,0,0,10.5,53.16,"N",0,0,9.21,51.58
"207",207,"Chloris_chloris","Carduelis_chloris","European Greenfinch","Fringillidae","Finches","Tring","M",427.24,76.69,503.93,12.04,3,6.48,6.04,3.96,26,"Full Migrant",1,5,16,"Female",1,0,0,0,10.5,53.16,"N",0,0,9.21,51.58
"211",211,"Chlorocichla_flaviventris","Chlorocichla_flaviventris","Yellow-bellied Greenbul","Pycnonotidae","Bulbuls","HBW","L",146.44,66.37,212.8,9.25,1.38,4.75,6.5,3,39.36,"Not a Migrant",0,2,16,"Both",1,0,0,0,2.5,-14.11,"S",0,0,22.08,75.84
"213",213,"Chlorodrepanis_stejnegeri","Hemignathus_kauaiensis","Kauai Amakihi","Fringillidae","Finches","BNA","L",349.73,78.97,428.7,11.4,2.55,6.3,6.3,3.8,16.64,"Not a Migrant",0,3,19,"Mainly Female",1,0,0,0,6,22.25,"N",1,1,21.14,129.53
"214",214,"Chlorodrepanis_virens","Hemignathus_virens","Hawaii Amakihi","Fringillidae","Finches","BNA","L",308.13,49.55,357.68,9.95,2.38,6.9,5.2,3.5,13.69,"Not a Migrant",0,2.5,16.8,"Female",1,0,0,0,16.25,19.75,"N",1,1,18.64,145.41
"215",215,"Chlorophanes_spiza","Chlorophanes_spiza","Green Honeycreeper","Thraupidae","Tanagers","HBW","L",141.37,26.18,167.55,8,1.5,5,5,2,19,"Not a Migrant",0,2,12,"Female",1,0,0,0,6.75,-4.33,"S",0,0,25.23,186.21
